dataset,split,method,metric,mean,std
fried,train,BetaShapley,mae,1.268387622568589,0.06928450869195718
fried,train,BetaShapley,mse,2.753804753202284,0.30002204086473494
fried,train,Bipartite,mae,0.127549,0.017417877657891136
fried,train,Bipartite,mse,0.027603419999999983,0.006043595989806077
fried,train,Linear,mae,0.24910260897860997,0.014282321823821822
fried,train,Linear,mse,0.08604158728479185,0.008827881138278324
fried,train,MLP,mae,0.3173771096720323,0.02053005989200162
fried,train,MLP,mse,0.1273521142687101,0.014309969596563641
fried,train,Shapley,mae,1.2951329433528562,0.06809064181361543
fried,train,Shapley,mse,2.873244674127153,0.29665280018761675
nomao,test,Banzhaf,mae,0.38956725090251804,0.017803652502679047
nomao,test,Banzhaf,mse,0.20786440909311077,0.01922192573024151
nomao,test,BetaShapley,mae,1.4822749966969966,0.11003072584842861
nomao,test,BetaShapley,mse,3.7059480994823906,0.5339914217417968
nomao,test,Bipartite,mae,0.06736399999999997,0.022337728857838593
nomao,test,Bipartite,mse,0.009973599999999975,0.004213989349772946
nomao,test,Linear,mae,0.3273022803218969,0.016892811864654838
nomao,test,Linear,mse,0.14841212591231612,0.014095103038829307
nomao,test,MLP,mae,0.38776822816133966,0.017234092163370306
nomao,test,MLP,mse,0.20081150247983692,0.017689990762869603
nomao,test,Shapley,mae,1.515589209448038,0.11368307051954762
nomao,test,Shapley,mse,3.8737226501626028,0.5636907895660138
nomao,train,Banzhaf,mae,0.38547187659245,0.019962812432728384
nomao,train,Banzhaf,mse,0.1986607643055339,0.019654381608680004
nomao,train,BetaShapley,mae,1.4858620136409182,0.12799104368213798
nomao,train,BetaShapley,mse,3.7642910627256554,0.645856759902006
nomao,train,Bipartite,mae,0.07126899999999997,0.021796290823995947
nomao,train,Bipartite,mse,0.011912699999999969,0.004253600728299424
nomao,train,Linear,mae,0.31492980302998075,0.015731588821780527
nomao,train,Linear,mse,0.14050356068402386,0.013634738219686214
nomao,train,MLP,mae,0.3971968215775416,0.02095463493492996
nomao,train,MLP,mse,0.20255362901167356,0.020144263558688903
nomao,train,Shapley,mae,1.5200806905526518,0.1312834325111952
nomao,train,Shapley,mse,3.9390754791509104,0.6773396023414977
